1,869052
2,100212
3,224296
5,196937
6,550629
7,278119
8,562232
9,591396
10,358692
11,432997
13,816533
15,83786
17,475097
18,563380
19,203035
21,879557
23,289469
25,893581
28,381728
29,783053
30,637956
31,827805
32,559392
33,301924
35,494365
37,132725
39,511538
40,630705
41,811286
42,291792
43,559075
44,935013
45,43564
47,169859
48,202669
49,896267
50,819726
52,638167
53,219034
55,696108
57,165234
58,499992
59,800426
60,386909
61,386327
62,244808
65,746045
81,538283
83,689645
85,457438
87,370223
89,744746
101,397601
106,703532
110,446616
121,350500
133,969058
134,590215
136,147851
137,131583
140,351591
145,696646
151,625932
152,131582
153,543750
156,740488
157,371790
158,436957
160,937152
161,78312
163,430593
166,878898
167,79258
169,705113
185,538092
188,768781
189,913192
190,986657
191,931097
196,105797
198,388522
201,769271
203,619035
205,610715
207,215438
209,672999
211,755163
212,853240
213,985788
214,31660
215,656707
221,654994
223,552827
269,567267
280,439559
297,343330
305,293946
306,301506
325,144075
341,518415
397,897427
